Species	Category	Count	Coverage	Coverage_percent
Herinaceus	SINE	27	5085	.011
Herinaceus	Uncertain	177	24447	.054
Herinaceus	Unknown	8264	6088691	13.648
Hpunicea	DNA	11384	11731702	12.855
Hpunicea	LINE	1309	1872179	2.051
Hpunicea	LTR	7635	11982236	13.129
Hpunicea	PLE	273	82278	.090
Hpunicea	RC	3922	7913972	8.671
Hpunicea	Retroposon	0	0	0
Hpunicea	SINE	6	1256	.001
Hpunicea	Uncertain	292	51426	.056
Hpunicea	Unknown	32504	25520651	27.964
Igrammopodia	DNA	3396	4196300	8.828
Igrammopodia	LINE	696	771934	1.624
Igrammopodia	LTR	5232	7546643	15.877
Igrammopodia	PLE	19	4003	.008
Igrammopodia	RC	562	853675	1.796
Igrammopodia	Retroposon	0	0	0
Igrammopodia	SINE	10	1810	.003
Igrammopodia	Uncertain	81	12653	.026
Igrammopodia	Unknown	12017	7396097	15.561
Iobscuroides	DNA	2409	2132660	4.499
Iobscuroides	LINE	811	1090428	2.300
Iobscuroides	LTR	4251	7145913	15.077
Iobscuroides	PLE	12	2163	.004
Iobscuroides	RC	584	797475	1.682
Iobscuroides	Retroposon	0	0	0
Iobscuroides	SINE	76	14778	.031
Iobscuroides	Uncertain	83	14115	.029
Iobscuroides	Unknown	12525	7831298	16.524
Itigrina	DNA	1364	1337492	3.238
Itigrina	LINE	361	361224	.874
Itigrina	LTR	2377	3201914	7.751
Itigrina	PLE	20	3925	.009
Itigrina	RC	464	467684	1.132
Itigrina	Retroposon	0	0	0
Itigrina	SINE	21	4070	.009
Itigrina	Uncertain	85	11742	.028
Itigrina	Unknown	9166	6255971	15.145
Lblennius	DNA	3212	3128103	4.543
Lblennius	LINE	1246	1263758	1.835
Lblennius	LTR	8656	19035057	27.645
Lblennius	PLE	12	2682	.003
Lblennius	RC	384	316745	.460
Lblennius	Retroposon	0	0	0
Lblennius	SINE	12	2341	.003
Lblennius	Uncertain	156	33750	.049
Lblennius	Unknown	21081	19419814	28.204
Levosmus	DNA	1837	1487187	2.600
Levosmus	LINE	835	992671	1.735
Levosmus	LTR	10958	22058998	38.565
Levosmus	PLE	12	3424	.005
Levosmus	RC	241	284990	.498
Levosmus	Retroposon	1	194	0
Levosmus	SINE	8	1505	.002
Levosmus	Uncertain	93	19659	.034
Levosmus	Unknown	12600	9319676	16.293
Lflavum	DNA	295	252978	1.055
Lflavum	LINE	433	557891	2.328
Lflavum	LTR	582	418928	1.748
Lflavum	PLE	5	1169	.004
Lflavum	RC	50	20446	.085
Lflavum	Retroposon	2	391	.001
Lflavum	SINE	3	453	.001
Lflavum	Uncertain	527	70695	.295
Lflavum	Unknown	1681	722811	3.017
Llubrica	DNA	9782	14273105	16.584
Llubrica	LINE	4012	4540430	5.275
Llubrica	LTR	18405	23593751	27.414
Llubrica	PLE	3	945	.001
Llubrica	RC	1414	2473841	2.874
Llubrica	Retroposon	2	238	0
Llubrica	SINE	12	1679	.001
Llubrica	Uncertain	310	47197	.054
Llubrica	Unknown	20122	9280122	10.782
Lpygmaea	DNA	575	376128	1.160
Lpygmaea	LINE	2781	3558707	10.976
Lpygmaea	LTR	2700	6283551	19.381
Lpygmaea	PLE	4	692	.002
Lpygmaea	RC	47	12719	.039
Lpygmaea	Retroposon	1	120	0
Lpygmaea	SINE	5	714	.002
Lpygmaea	Uncertain	579	85816	.264
Lpygmaea	Unknown	3569	1039119	3.205
Lsordida	DNA	1529	1523114	2.861
Lsordida	LINE	276	309628	.581
Lsordida	LTR	2057	3260690	6.126
Lsordida	PLE	22	5981	.011
Lsordida	RC	574	790318	1.484
Lsordida	Retroposon	0	0	0
Lsordida	SINE	12	2266	.004
Lsordida	Uncertain	161	25350	.047
Lsordida	Unknown	10934	8490951	15.953
Lsulphureus	DNA	782	525340	1.404
Lsulphureus	LINE	210	292026	.780
Lsulphureus	LTR	1014	2530440	6.764
Lsulphureus	PLE	23	35341	.094
Lsulphureus	RC	303	182193	.487
Lsulphureus	Retroposon	0	0	0
Lsulphureus	SINE	24	4914	.013
Lsulphureus	Uncertain	99	13830	.036
Lsulphureus	Unknown	4871	3518271	9.404
Ltabidus	DNA	2140	2462568	4.708
Ltabidus	LINE	809	947450	1.811
Ltabidus	LTR	4636	9245813	17.676
Ltabidus	PLE	12	2954	.005
Ltabidus	RC	552	569489	1.088
Ltabidus	Retroposon	0	0	0
Ltabidus	SINE	11	2006	.003
Ltabidus	Uncertain	132	32678	.062
Ltabidus	Unknown	13275	12665500	24.215
Mgalericulata	DNA	4929	4440583	4.450
Mgalericulata	LINE	4093	3062085	3.069
Mgalericulata	LTR	6283	9990624	10.013
Mgalericulata	PLE	94	132461	.132
Mgalericulata	RC	1199	1245858	1.248
Mgalericulata	Retroposon	0	0	0
Mgalericulata	SINE	207	36125	.036
Mgalericulata	Uncertain	536	83091	.083
Mgalericulata	Unknown	30119	15553007	15.588
Mzobellii	DNA	85	19723	.144
Mzobellii	LINE	109	108321	.796
Mzobellii	LTR	82	28817	.211
Mzobellii	PLE	1	228	.001
Mzobellii	RC	69	17675	.129
Mzobellii	Retroposon	0	0	0
Mzobellii	SINE	37	4957	.036
Mzobellii	Uncertain	90	12766	.093
Mzobellii	Unknown	456	142690	1.049
Palboapiculata	DNA	1443	1297995	2.626
Palboapiculata	LINE	423	523351	1.059
Palboapiculata	LTR	4018	6763830	13.688
Palboapiculata	PLE	10	2493	.005
Palboapiculata	RC	455	545984	1.104
Palboapiculata	Retroposon	0	0	0
Palboapiculata	SINE	51	13358	.027
Palboapiculata	Uncertain	148	24035	.048
Palboapiculata	Unknown	7979	5552884	11.237
Pcalyptriformis	DNA	1280	1039491	3.137
Pcalyptriformis	LINE	133	115661	.349
Pcalyptriformis	LTR	3615	8133685	24.551
Pcalyptriformis	PLE	12	2779	.008
Pcalyptriformis	RC	340	282565	.852
Pcalyptriformis	Retroposon	0	0	0
Pcalyptriformis	SINE	4	761	.002
Pcalyptriformis	Uncertain	126	20782	.062
Pcalyptriformis	Unknown	4781	5804922	17.521
Pglauca	DNA	389	152494	.459
Pglauca	LINE	238	209623	.631
Pglauca	LTR	391	403563	1.215
Pglauca	PLE	2	333	.001
Pglauca	RC	143	98734	.297
Pglauca	Retroposon	0	0	0
Pglauca	SINE	12	1729	.005
Pglauca	Uncertain	240	36310	.109
Pglauca	Unknown	3426	980885	2.955
Postreatus	DNA	1059	1265538	3.130
Postreatus	LINE	159	109790	.271
Postreatus	LTR	2019	4873803	12.055
Postreatus	PLE	65	71178	.176
Postreatus	RC	323	274995	.680
Postreatus	Retroposon	0	0	0
Postreatus	SINE	14	2682	.006
Postreatus	Uncertain	133	20401	.050
Postreatus	Unknown	5103	3894197	9.632
Pstipticus	DNA	1212	977035	2.541
Pstipticus	LINE	406	294858	.766
Pstipticus	LTR	1827	2691754	7.001
Pstipticus	PLE	11	4370	.011
Pstipticus	RC	352	242019	.629
Pstipticus	Retroposon	2	886	.002
Pstipticus	SINE	11	1962	.005
Pstipticus	Uncertain	150	24446	.063
Pstipticus	Unknown	8282	4335184	11.276
Ptriumphans	DNA	18378	22292752	13.511
Ptriumphans	LINE	2521	3511458	2.128
Ptriumphans	LTR	41521	73634635	44.631
Ptriumphans	PLE	31	6074	.003
Ptriumphans	RC	3171	7511210	4.552
Ptriumphans	Retroposon	0	0	0
Ptriumphans	SINE	77	11924	.007
Ptriumphans	Uncertain	813	183845	.111
Ptriumphans	Unknown	37823	22926067	13.895
Rcorniculata	DNA	1607	1360408	2.900
Rcorniculata	LINE	444	382448	.815
Rcorniculata	LTR	2366	3278549	6.989
Rcorniculata	PLE	14	3536	.007
Rcorniculata	RC	9827	10578983	22.552
Rcorniculata	Retroposon	0	0	0
Rcorniculata	SINE	16	4882	.010
Rcorniculata	Uncertain	100	14862	.031
Rcorniculata	Unknown	11023	7644503	16.296
Rdelica	DNA	2141	2410312	5.206
Rdelica	LINE	946	1045842	2.259
Rdelica	LTR	4534	7474538	16.146
Rdelica	PLE	31	11676	.025
Rdelica	RC	260	167440	.361
Rdelica	Retroposon	0	0	0
Rdelica	SINE	26	6906	.014
Rdelica	Uncertain	137	20851	.045
Rdelica	Unknown	14080	11146925	24.079
Rfaginea	DNA	2191	2295431	5.516
Rfaginea	LINE	475	522641	1.255
Rfaginea	LTR	3199	5514133	13.251
Rfaginea	PLE	18	4604	.011
Rfaginea	RC	387	459879	1.105
Rfaginea	Retroposon	0	0	0
Rfaginea	SINE	30	7077	.017
Rfaginea	Uncertain	78	12675	.030
Rfaginea	Unknown	14376	10042291	24.132
